"FullName","Name","Extension","Length","CreationTime","LastWriteTime"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\snapshots\phase7b-security-complete\backend\node_modules\prettier\parser-flow.js","parser-flow.js",".js","1054913","17/6/2026 3:38:56 AM","9/6/2026 3:43:05 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\prettier\esm\parser-flow.mjs","parser-flow.mjs",".mjs","1054559","9/6/2026 3:43:05 PM","9/6/2026 3:43:05 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\snapshots\phase7b-security-complete\backend\node_modules\prettier\esm\parser-flow.mjs","parser-flow.mjs",".mjs","1054559","17/6/2026 3:38:56 AM","9/6/2026 3:43:05 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\snapshots\phase6c-complete\backend\node_modules\prettier\esm\parser-flow.mjs","parser-flow.mjs",".mjs","1054559","15/6/2026 12:28:20 PM","9/6/2026 3:43:05 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\PROJECT_FILE_TREE.txt","PROJECT_FILE_TREE.txt",".txt","1011570","13/6/2026 4:19:12 PM","13/6/2026 4:19:14 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\node_modules\csstype\index.d.ts","index.d.ts",".ts","894969","9/6/2026 8:35:23 PM","9/6/2026 8:35:23 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\snapshots\phase7b-security-complete\frontend\node_modules\csstype\index.d.ts","index.d.ts",".ts","894969","17/6/2026 7:22:20 AM","9/6/2026 8:49:28 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\node_modules\csstype\index.d.ts","index.d.ts",".ts","894969","9/6/2026 8:49:28 PM","9/6/2026 8:49:28 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\_operations\phase-10ZY1-enterprise-metadata-extraction-audit\inventory\DOCUMENT-INVENTORY.csv","DOCUMENT-INVENTORY.csv",".csv","825053","20/6/2026 6:56:12 AM","20/6/2026 6:56:12 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\snapshots\phase7b-security-complete\frontend\node_modules\.vite\deps\react-dom_client.js","react-dom_client.js",".js","820880","17/6/2026 7:22:07 AM","13/6/2026 2:59:44 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\node_modules\.vite\deps\react-dom_client.js","react-dom_client.js",".js","820880","13/6/2026 2:59:44 PM","13/6/2026 2:59:44 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\snapshots\phase7b-security-complete\backend\node_modules\graphemer\lib\Graphemer.js","Graphemer.js",".js","786010","17/6/2026 3:38:41 AM","9/6/2026 12:03:53 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\graphemer\lib\Graphemer.js","Graphemer.js",".js","786010","9/6/2026 3:41:58 PM","9/6/2026 12:03:53 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\snapshots\phase6c-complete\backend\node_modules\graphemer\lib\Graphemer.js","Graphemer.js",".js","786010","15/6/2026 12:28:11 PM","9/6/2026 12:03:53 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\moment-timezone\builds\moment-timezone-with-data.js","moment-timezone-with-data.js",".js","745093","9/6/2026 3:43:04 PM","9/6/2026 3:43:04 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\snapshots\phase7b-security-complete\backend\node_modules\moment-timezone\builds\moment-timezone-with-data.js","moment-timezone-with-data.js",".js","745093","17/6/2026 3:38:53 AM","9/6/2026 3:43:04 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\snapshots\phase6c-complete\backend\node_modules\moment-timezone\builds\moment-timezone-with-data.js","moment-timezone-with-data.js",".js","745093","15/6/2026 12:28:19 PM","9/6/2026 3:43:04 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\moment-timezone\builds\moment-timezone-with-data.min.js","moment-timezone-with-data.min.js",".js","731801","9/6/2026 3:43:04 PM","9/6/2026 3:43:04 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\snapshots\phase6c-complete\backend\node_modules\moment-timezone\builds\moment-timezone-with-data.min.js","moment-timezone-with-data.min.js",".js","731801","15/6/2026 12:28:19 PM","9/6/2026 3:43:04 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\snapshots\phase7b-security-complete\backend\node_modules\moment-timezone\builds\moment-timezone-with-data.min.js","moment-timezone-with-data.min.js",".js","731801","17/6/2026 3:38:53 AM","9/6/2026 3:43:04 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\moment-timezone\data\packed\latest.json","latest.json",".json","727104","9/6/2026 3:43:04 PM","9/6/2026 3:43:05 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\snapshots\phase7b-security-complete\backend\node_modules\moment-timezone\data\packed\latest.json","latest.json",".json","727104","17/6/2026 3:38:53 AM","9/6/2026 3:43:05 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\snapshots\phase6c-complete\backend\node_modules\moment-timezone\data\packed\latest.json","latest.json",".json","727104","15/6/2026 12:28:19 PM","9/6/2026 3:43:05 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\better-sqlite3\deps\sqlite3\sqlite3.h","sqlite3.h",".h","690047","9/6/2026 5:41:36 PM","9/6/2026 5:41:36 PM"
