"FullName","Name","Extension","Length","CreationTime","LastWriteTime","LastAccessTime"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\scriptsDEPLOY-PHASE-10ZG.ps1","scriptsDEPLOY-PHASE-10ZG.ps1",".ps1","9176","19/6/2026 5:34:26 PM","19/6/2026 5:35:05 PM","20/6/2026 11:16:56 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\START-L360-CLEAN.bat","START-L360-CLEAN.bat",".bat","1802","17/6/2026 3:26:50 AM","19/6/2026 5:30:15 PM","20/6/2026 2:45:40 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\START-L360.bat","START-L360.bat",".bat","543","17/6/2026 6:59:24 PM","17/6/2026 6:59:24 PM","20/6/2026 11:16:56 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\START_L360_ECC_DASHBOARD.bat","START_L360_ECC_DASHBOARD.bat",".bat","365","18/6/2026 8:33:22 PM","18/6/2026 8:33:22 PM","20/6/2026 11:16:56 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\stop-dev-admin.bat","stop-dev-admin.bat",".bat","285","14/6/2026 4:33:06 PM","14/6/2026 4:33:14 PM","20/6/2026 11:16:56 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\STOP-L360.bat","STOP-L360.bat",".bat","138","14/6/2026 4:36:36 PM","17/6/2026 6:59:24 PM","20/6/2026 11:16:56 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\TIDY_FOLDER_SAFE.bat","TIDY_FOLDER_SAFE.bat",".bat","3080","20/6/2026 6:39:59 AM","20/6/2026 6:40:21 AM","20/6/2026 11:16:56 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\verify-phase6-readonly.bat","verify-phase6-readonly.bat",".bat","929","14/6/2026 6:24:04 PM","14/6/2026 6:24:14 PM","20/6/2026 11:16:56 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\{","{","","18","19/6/2026 3:06:19 PM","19/6/2026 3:06:19 PM","20/6/2026 11:16:57 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\.env",".env",".env","211","10/6/2026 4:33:49 PM","14/6/2026 5:09:19 PM","20/6/2026 2:45:43 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\.env.example",".env.example",".example","596","9/6/2026 3:32:39 PM","9/6/2026 4:11:32 PM","20/6/2026 11:16:57 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\deploy-phase-10A-handler-registry-V2-auto-root.bat","deploy-phase-10A-handler-registry-V2-auto-root.bat",".bat","15295","18/6/2026 5:22:49 PM","18/6/2026 5:22:50 PM","20/6/2026 12:20:40 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\dev-safe.bat","dev-safe.bat",".bat","543","14/6/2026 2:57:56 PM","14/6/2026 5:29:26 PM","20/6/2026 12:20:40 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\launch-dev.bat","launch-dev.bat",".bat","843","14/6/2026 4:28:31 PM","14/6/2026 4:28:50 PM","20/6/2026 12:20:40 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\litigation360.db","litigation360.db",".db","180224","9/6/2026 5:41:39 PM","18/6/2026 4:43:31 PM","20/6/2026 2:45:44 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\migrate-clients-auditlogger.js","migrate-clients-auditlogger.js",".js","849","15/6/2026 11:37:43 AM","15/6/2026 11:37:55 AM","20/6/2026 12:20:30 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\migrate-matters-auditlogger.js","migrate-matters-auditlogger.js",".js","880","15/6/2026 11:51:48 AM","15/6/2026 11:51:56 AM","20/6/2026 12:20:30 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\package-lock.json","package-lock.json",".json","248405","9/6/2026 3:43:11 PM","14/6/2026 5:10:23 PM","20/6/2026 12:20:30 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\package.json","package.json",".json","1562","9/6/2026 3:32:39 PM","14/6/2026 5:10:23 PM","20/6/2026 7:24:02 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\patch-client-audit-approved.js","patch-client-audit-approved.js",".js","2529","15/6/2026 12:33:52 AM","15/6/2026 12:34:07 AM","20/6/2026 12:20:30 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\patch-deadlines-audit-approved.js","patch-deadlines-audit-approved.js",".js","3938","15/6/2026 11:07:03 AM","15/6/2026 11:07:21 AM","20/6/2026 12:20:30 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\patch-delete-client-audit-only.js","patch-delete-client-audit-only.js",".js","1389","15/6/2026 9:31:35 AM","15/6/2026 9:31:47 AM","20/6/2026 12:20:30 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\patch-delete-client-exact.js","patch-delete-client-exact.js",".js","1538","15/6/2026 9:33:39 AM","15/6/2026 9:33:48 AM","20/6/2026 12:20:30 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\patch-documents-audit-approved.js","patch-documents-audit-approved.js",".js","2441","15/6/2026 10:46:10 AM","15/6/2026 10:46:18 AM","20/6/2026 12:20:30 PM"
