"FullName","CreationTime","LastWriteTime","LastAccessTime"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\enterprise\audit","18/6/2026 8:26:19 AM","18/6/2026 10:29:13 AM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\enterprise\automation-bus","18/6/2026 8:26:19 AM","18/6/2026 10:16:11 AM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\enterprise\automation-consumer","18/6/2026 10:48:26 AM","18/6/2026 11:21:07 AM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\enterprise\automation-dashboard","18/6/2026 11:42:30 AM","18/6/2026 12:00:58 PM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\enterprise\automation-handlers","18/6/2026 12:54:18 PM","18/6/2026 1:16:07 PM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\enterprise\database","18/6/2026 9:56:55 AM","18/6/2026 9:56:55 AM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\enterprise\dead-letter-queue","18/6/2026 11:29:11 AM","18/6/2026 11:38:11 AM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\enterprise\docs","18/6/2026 9:54:41 AM","18/6/2026 9:54:41 AM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\enterprise\event-catalog","18/6/2026 8:26:19 AM","18/6/2026 10:19:27 AM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\enterprise\hardening","18/6/2026 1:41:05 PM","18/6/2026 1:41:05 PM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\enterprise\monitoring","18/6/2026 8:26:19 AM","18/6/2026 10:32:01 AM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\enterprise\notification-hub","18/6/2026 8:26:19 AM","18/6/2026 10:23:30 AM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\enterprise\reliability","18/6/2026 8:26:19 AM","18/6/2026 10:40:02 AM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\enterprise\retry-engine","18/6/2026 11:23:02 AM","18/6/2026 11:27:48 AM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\enterprise\shared-services","18/6/2026 8:26:19 AM","18/6/2026 10:20:33 AM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\enterprise\testing","18/6/2026 8:26:19 AM","18/6/2026 8:26:19 AM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\enterprise\database\phase-09-5","18/6/2026 9:56:55 AM","18/6/2026 10:02:13 AM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\enterprise\docs\01-automation-bus","18/6/2026 9:54:41 AM","18/6/2026 10:44:48 AM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\enterprise\docs\02-event-catalog","18/6/2026 9:54:41 AM","18/6/2026 9:54:41 AM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\enterprise\docs\03-shared-services","18/6/2026 9:54:41 AM","18/6/2026 9:54:41 AM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\enterprise\docs\04-notification-hub","18/6/2026 9:54:41 AM","18/6/2026 9:54:41 AM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\enterprise\docs\05-monitoring","18/6/2026 9:54:41 AM","18/6/2026 9:54:41 AM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\enterprise\docs\06-reliability","18/6/2026 9:54:41 AM","18/6/2026 9:54:41 AM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\enterprise\docs\07-audit","18/6/2026 9:54:41 AM","18/6/2026 9:54:41 AM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\enterprise\hardening\reports","18/6/2026 1:41:05 PM","18/6/2026 1:41:05 PM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\enterprise\hardening\startup-validator","18/6/2026 1:41:05 PM","18/6/2026 1:41:05 PM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\logs\audit","18/6/2026 8:26:19 AM","18/6/2026 8:26:19 AM","20/6/2026 10:26:26 PM"
