"Name","FullPath","Extension","SizeBytes","LastModified","Category"
"L360-PHASE10Z4-AUTONOMOUS-OPERATIONS-SUPERVISOR-V2.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10Z4-AUTONOMOUS-OPERATIONS-SUPERVISOR-V2.ps1",".ps1","26646","19/6/2026 5:17:06 PM","General"
"L360-PHASE10Z4-AUTONOMOUS-OPERATIONS-SUPERVISOR.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10Z4-AUTONOMOUS-OPERATIONS-SUPERVISOR.ps1",".ps1","26638","19/6/2026 5:14:36 PM","General"
"L360-PHASE10ZY0-ENTERPRISE-DISCOVERY-INVENTORY-AUDIT.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10ZY0-ENTERPRISE-DISCOVERY-INVENTORY-AUDIT.ps1",".ps1","2324","19/6/2026 6:32:58 PM","General"
"L360-PHASE10ZY1-ENTERPRISE-METADATA-EXTRACTION-AUDIT.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10ZY1-ENTERPRISE-METADATA-EXTRACTION-AUDIT.ps1",".ps1","8730","20/6/2026 6:55:40 AM","General"
"L360-PHASE11-0-AUTONOMOUS-LEGAL-ENTERPRISE-ECOSYSTEM-FOUNDATION.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE11-0-AUTONOMOUS-LEGAL-ENTERPRISE-ECOSYSTEM-FOUNDATION.ps1",".ps1","17378","19/6/2026 5:23:08 PM","General"
"L360-SAFE-CLEANUP-V3.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-SAFE-CLEANUP-V3.ps1",".ps1","8201","18/6/2026 5:45:08 PM","General"
"scriptsDEPLOY-PHASE-10ZG.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\scriptsDEPLOY-PHASE-10ZG.ps1",".ps1","9176","19/6/2026 5:35:05 PM","General"
"patch-shutdown.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\patch-shutdown.ps1",".ps1","863","14/6/2026 2:43:54 PM","General"
"safe-rbac-patch-approved.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\safe-rbac-patch-approved.ps1",".ps1","2080","14/6/2026 6:10:56 PM","General"
"acorn.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\.bin\acorn.ps1",".ps1","785","9/6/2026 12:04:02 PM","General"
"baseline-browser-mapping.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\.bin\baseline-browser-mapping.ps1",".ps1","873","9/6/2026 12:04:02 PM","General"
"browserslist.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\.bin\browserslist.ps1",".ps1","801","9/6/2026 12:04:02 PM","General"
"create-jest.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\.bin\create-jest.ps1",".ps1","845","9/6/2026 12:04:02 PM","General"
"eslint.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\.bin\eslint.ps1",".ps1","805","9/6/2026 12:04:02 PM","General"
"esparse.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\.bin\esparse.ps1",".ps1","813","9/6/2026 12:04:02 PM","General"
"esvalidate.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\.bin\esvalidate.ps1",".ps1","825","9/6/2026 12:04:02 PM","General"
