"FullName","Name","Extension","Length","LastWriteTime"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\enterprise\shared-services\sharedServicesRegistry.js.phase95-backup","sharedServicesRegistry.js.phase95-backup",".phase95-backup","30","18/6/2026 8:30:40 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\licensing\entitlement-engine.js","entitlement-engine.js",".js","1056","20/6/2026 6:20:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\licensing\features.json","features.json",".json","1351","20/6/2026 6:20:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\licensing\ground-zero-client.json","ground-zero-client.json",".json","732","20/6/2026 6:20:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\licensing\plans.json","plans.json",".json","1104","20/6/2026 6:20:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\logs\error.log","error.log",".log","318","9/6/2026 4:14:05 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\middleware\adminAudit.js","adminAudit.js",".js","682","20/6/2026 10:41:09 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\middleware\adminValidation.js","adminValidation.js",".js","1237","20/6/2026 10:49:54 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\middleware\mockAdminContext.js","mockAdminContext.js",".js","496","20/6/2026 10:41:09 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\middleware\mockFirmContext.js","mockFirmContext.js",".js","1304","20/6/2026 6:29:04 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\middleware\requireAdmin.js","requireAdmin.js",".js","402","20/6/2026 10:41:09 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\middleware\requireApproval.js","requireApproval.js",".js","674","20/6/2026 10:44:37 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\middleware\requireFeature.js","requireFeature.js",".js","2124","20/6/2026 6:29:04 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\middleware\requireSuperAdmin.js","requireSuperAdmin.js",".js","420","20/6/2026 10:41:09 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\middleware\safetyLock.js","safetyLock.js",".js","908","20/6/2026 10:44:37 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\middleware\validateFeatureKey.js","validateFeatureKey.js",".js","817","20/6/2026 11:24:30 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\.package-lock.json",".package-lock.json",".json","246650","14/6/2026 5:10:24 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\.bin\acorn","acorn","","379","9/6/2026 12:04:02 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\.bin\acorn.cmd","acorn.cmd",".cmd","320","9/6/2026 12:04:02 PM"
